tag	en	fr	pt	es	id	ru	zh
workflowSteps.none	(None)	(Aucun)	(Nenhum)	(Ninguno)	(Tidak ada)	(Нет)	(无)
main.about	About	À propos de	Sobre	Acerca de	Tentang	О программе	关于
passageDetailArtifacts.accept	Accept	Accepter	Aceitar	Aceptar	Terima	Принять	接受
invitationTable.accepted	Accepted	Acceptée	Aceito	Aceptado	Diterima	Принято	已接受
main.course	Access Accredited Course	Accéder à un cours accrédité	Acessar o curso credenciado	Acceder al curso acreditado	Buka Kursus Terakreditasi	Доступ к аккредитованным курсам	访问认证课程
main.logos	Access Logos Resources	Accès Ressources Logos	Acessar recursos de logotipos	Acceder a Recursos Logos	Buka Sumber Logos	Доступ к ресурсам Logos	访问徽标资源
main.openContent	Access Open Content	Accéder au contenu ouvert	Acessar conteúdo aberto	Acceso a contenido abierto	Buka Konten Akses Terbuka	Доступ к открытому контенту	访问开放内容
main.videos	Access Training Videos	Accéder aux vidéos de formation	Acessar vídeos de treinamento	Acceder a los vídeos de formación	Buka Video Latihan	Доступ к учебным видеоматериалам	访问培训视频
main.walkThru	Access Walk Through	Accès à la visite guidée	Passeio pelo Access	Acceder al recorrido	Buka Video Pengenalan APM	Доступ к просмотру	Access 演示
usertable.action	Action	Action	Ação	Acción	Tindakan	Действие	行动
mediaTab.actions	Actions	Actions	Ações	Acciones	Tindakan	Действия	行动
artifactType.activity	Activity	Activité	Atividade	Actividad	Aktivitas	Деятельность	活动
profile.add	Add	Ajouter	Adicionar	Añadir	Tambahkan	Добавить	添加
passageDetailArtifacts.activity	Add Activity	Ajouter une activité	Adicionar Atividade	Añadir actividad	Tambahkan Aktifitas	Добавить активность	添加活动
assignmentTable.addScheme2	Add Assignment Scheme	Ajouter un plan d'affectation	Adicionar Esquema de Atribuição	Añadir esquema de asignación	Tambah Skema Tugas	Добавить схему назначений	添加作业方案
discussionList.add	Add Discussion	Ajouter une discussion	Adicionar Discussão	Añadir discusión	Tambahkan Diskusi	Добавить обсуждение	添加讨论
usertable.addMember	Add Member	Ajouter utilisateur	Adicionar Membro	Añadir miembro	Tambahkan Anggota	Добавить участника	添加成员
selectArtifactCategory.addNewCategory	Add New Category	Ajouter une nouvelle catégorie	Adicionar Nova Categoria	Añadir nueva categoría	Tambahkan Kategori Baru	Добавить новую категорию	添加新范畴
usertable.addNewUser	Add New Member	Ajouter un nouveau membre	Adicionar Novo Utilizador	Añadir nuevo miembro	Tambahkan Anggota Baru	Добавить нового пользователя	添加新成员
selectArtifactType.addNewType	Add New Type	Ajouter un nouveau type	Adicionar Novo Tipo	Añadir nuevo tipo	Tambahkan Jenis Baru	Добавить новый тип	添加新类型
planActions.addNote	Add Note	Ajouter une note	Adicionar nota	Añadir Nota	Tambahkan Catatan	Добавить заметку	添加注释
planSheet.addPassage	Add Passage	Ajouter un passage	Adicionar Passagem	Añadir pasaje	Tambahkan Bagian	Добавить отрывок	添加片段
assignmentTable.addScheme	Add Permission Scheme	Ajouter un schéma d'autorisation	Adicionar esquema de permissões	Añadir esquema de permisos	Tambah Skema Perizinan	Добавить схему разрешений	添加权限方案
cards.addTeam	Add Team	Ajouter une équipe	Adicionar Equipe	Añadir Equipo	Tambahkan Tim	Добавить команду	添加团队
spelling.addToDict	Add to dictionary	Ajouter au dictionnaire	Adicionar ao dicionário	Añadir al diccionario	Tambahkan ke kamus	Добавить в словарь	添加至词典
keyTerms.addTargetWord	Add Translation	Ajouter une traduction	Adicionar Tradução	Añadir traducción	Tambahkan Terjemahan	Добавить перевод	添加译文
workflowSteps.addingStep	Adding Workflow Step:	Ajout d'une étape de workflow :	Adição de etapa de fluxo de trabalho:	Añadir paso de flujo de trabajo:	Sedang Menambahkan Lankah Alur Kerja:	Добавление шага рабочего процесса:	添加工作流步骤：
transcribeReject.comment	Additional Comment	Commentaire supplémentaire	Comentário Adicional	Comentario adicional	Catatan Tambahan	Дополнительный комментарий	额外注释
profile.additionalSettings	Additional Settings	Paramètres supplémentaires	Definições adicionais	Ajustes adicionales	Pengaturan Tambahan	Дополнительные настройки	附加设置
main.admin	Admin	Admin	Administrador	Admin	Admin	Администратор	管理
deleteExpansion.advanced	Advanced	Avancé	Avançado	Avanzado	Advanced	Расширенные	高级
voice.age	Age	Âge	Idade	Edad	Usia	Возраст	年龄
shared.ai	AI	AI	IA	AI	AI	AI	人工智能
artifactType.airesource	AI Generated	Généré par l'IA	Gerada por IA	Generado por IA	Dihasilkan oleh AI	Сгенерированный ИИ	AI 生成
findResource.queryBuilder	AI Query Builder	Constructeur de requêtes pour l'IA	Criador de consultas de IA	Generador de consultas AI	Pembuat Kueri AI	Конструктор запросов AI	人工智能查询生成器
